ElementID,Volume,Area,Length,Height,Thickness/Width,Base_offset,Top_offset,Number_of_Faces,Bounding_Box_Width,Bounding_Box_Height,Bounding_Box_Depth,Centroid_X,Centroid_Y,Centroid_Z,Orientation_Angle,Curvature,source,is_rare_class,SECClasS_Code_Ss_1,SECClasS_Code_Ss_1_encode,Category_Curtain Panels,Category_Doors,Category_Floors,Category_Roofs,Category_Stairs,Category_Structural Columns,Category_Structural Foundations,Category_Structural Framing,Category_Walls,Category_Windows,load_bearing_status_binary
1748908,2.24,8.97,0.33,19.71,0.25,-0.35,0.67,6.0,0.46,19.71,0.25,1049.6,289.33,90.52,0.0,0.0,dataset1,0,Ss_25,1,0,0,0,0,0,0,0,0,1,0,1
1749685,10.88,36.27,9.3,3.9,0.3,-1.41,-0.51,6.0,0.3,3.9,9.3,999.96,308.21,81.55,1.57,0.0,dataset1,0,Ss_25,1,0,0,0,0,0,0,0,0,1,0,1
1749887,6.43,21.45,5.8,3.9,0.3,-1.41,-0.51,6.0,5.8,3.9,0.3,997.06,312.01,81.55,3.14,0.0,dataset1,0,Ss_25,1,0,0,0,0,0,0,0,0,1,0,1
1750161,8.83,29.43,7.55,3.9,0.3,-1.41,-0.51,6.0,7.7,3.9,0.3,996.03,304.41,81.55,3.14,0.0,dataset1,0,Ss_25,1,0,0,0,0,0,0,0,0,1,0,1
1750436,2.87,9.57,2.73,3.9,0.3,-1.41,-0.51,6.0,2.73,3.9,0.3,991.03,303.97,81.55,3.14,0.0,dataset1,0,Ss_25,1,0,0,0,0,0,0,0,0,1,0,1
1750630,6.1,20.35,5.8,3.9,0.3,-1.41,-0.51,6.0,5.8,3.9,0.3,997.06,308.21,81.45,3.14,0.0,dataset1,0,Ss_25,1,0,0,0,0,0,0,0,0,1,0,1
1776760,1.67,3.63,0.35,7.2,0.46,-1.41,-0.23,6.0,0.5,7.2,0.46,987.77,304.05,83.2,3.14,0.0,dataset1,0,Ss_20,0,0,0,0,0,0,0,0,0,1,0,1
1829189,0.36,1.2,0.75,2.0,0.3,-0.43,-1.49,6.0,0.75,2.0,0.3,976.88,280.44,87.6,0.0,0.0,dataset1,0,Ss_25,1,0,0,0,0,0,0,0,0,1,0,1
1829334,0.36,1.2,0.75,2.0,0.3,-0.43,-1.49,6.0,0.75,2.0,0.3,976.88,285.01,87.6,0.0,0.0,dataset1,0,Ss_25,1,0,0,0,0,0,0,0,0,1,0,1
1829384,0.84,2.8,0.75,3.11,0.3,-0.23,-0.18,6.0,0.9,3.11,0.3,977.03,289.53,88.36,0.0,0.0,dataset1,0,Ss_25,1,0,0,0,0,0,0,0,0,1,0,1
1829442,0.56,1.86,0.75,3.11,0.3,-0.23,-0.18,6.0,0.75,3.11,0.3,976.88,294.09,88.35,0.0,0.0,dataset1,0,Ss_25,1,0,0,0,0,0,0,0,0,1,0,1
1829452,0.56,1.86,0.75,3.11,0.3,-0.23,-0.18,6.0,0.75,3.11,0.3,976.88,297.46,88.35,0.0,0.0,dataset1,0,Ss_25,1,0,0,0,0,0,0,0,0,1,0,1
1986001,7.09,23.65,15.15,1.56,0.3,-0.86,0.7,6.0,3.37,1.56,14.89,1028.54,316.29,83.93,1.78,0.0,dataset1,0,Ss_25,1,0,0,0,0,0,0,0,0,1,0,1
